Day Index,Users,New Users
5/15/18,64,45
5/16/18,51,37
5/17/18,43,32
5/18/18,46,32
5/19/18,10,5
5/20/18,18,10
5/21/18,50,27
5/22/18,80,60
5/23/18,53,33
5/24/18,48,28
5/25/18,57,40
5/26/18,9,7
5/27/18,15,12
5/28/18,63,45
5/29/18,48,27
5/30/18,56,33
5/31/18,86,65
6/1/18,77,51
6/2/18,10,6
6/3/18,11,6
6/4/18,52,30
6/5/18,155,132
6/6/18,65,41
6/7/18,62,38
6/8/18,31,23
6/9/18,14,9
6/10/18,22,14
6/11/18,72,55
6/12/18,77,56
6/13/18,78,52
6/14/18,55,35
6/15/18,42,28
6/16/18,13,7
6/17/18,12,6
6/18/18,46,33
6/19/18,101,80
6/20/18,60,38
6/21/18,56,39
6/22/18,50,37
6/23/18,16,9
6/24/18,28,20
6/25/18,81,64
6/26/18,59,41
6/27/18,42,23
6/28/18,48,33
6/29/18,38,22
6/30/18,15,13
7/1/18,12,8
7/2/18,35,19
7/3/18,52,36
7/4/18,44,27
7/5/18,46,27
7/6/18,45,30
7/7/18,21,15
7/8/18,10,6
7/9/18,57,34
7/10/18,80,45
7/11/18,66,41
7/12/18,55,30
,"13,330","8,649"
